ordered_list                                 | industry, skill, blockchain,blockchain proofs,position, algorithm, infastructure, test, process |
waffle                                       | skill, blockchain | 
wallet                                       | blockchain | 
wasm                                         | skill | 
web applications                             | skill | 
web-2                                        | industry | web-2 
web2                                         | industry | web-2 
web 2                                        | industry | web-2 
web-3                                        | industry | web-3 
web3                                         | industry | web-3 
web 3                                        | industry | web-3 
web3.py                                      | skill | 
webassembly                                  | skill |  wasm
webpack                                      | infastructure | 
websocket                                    | skill | 
wireframes                                   | skill | 
wireframs                                    | skill | wireframes 
workfusion                                   | generic | 
z-cash                                       | blockchain | 
zcash                                        | blockchain | zcash 
zero knowledge                               | algorithm |   
zero knowledge proof                         | algorithm | zero knowledge 
zkp                                          | algorithm | zero knowledge 
zokrates                                     | generic | 
zookeeper                                    | infastructure | 
